Bin,Phylum,Class,Order,Family,Genus,Species,Distance
bin_1,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_unclassified,f__Candidatus_Competibacteraceae,g__Candidatus_Competibacter,s__Candidatus_Competibacter_denitrificans,0.222464
bin_11,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sebaldella,s__Sebaldella_termitidis,0.00989629
bin_378,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Eubacterium_rectale,0.134234948
bin_297,p__Synergistetes,c__CFGB3522,o__OFGB3522,f__FGB3522,g__GGB11263,s__GGB11263_SGB17980,0.372583
bin_243,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB3240,s__GGB3240_SGB4280,0.071977778
bin_94,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_suis,0.127612609
bin_225,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium_SGB5770,0.06774855
bin_79,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB3244,s__GGB3244_SGB4290,0.023037894
bin_335,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Candidatus_Symbiobacter,s__Candidatus_Symbiobacter_mobilis,0.35328
bin_43,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8253,s__GGB8253_SGB12629,0.0282789
bin_30,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus_denitrificans,0.14777825
bin_367,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_sp_L_1B5_3,0.320287
bin_13,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_merdae,0.01673172
bin_99,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,s__Desulfomicrobium_apsheronum,0.211692
bin_259,p__Firmicutes,c__CFGB3069,o__OFGB3069,f__FGB3069,g__GGB9770,s__GGB9770_SGB15389,0.3272294
bin_321,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8248,s__GGB8248_SGB12619,0.270747
bin_287,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB2430,s__GGB2430_SGB3320,0.171263
bin_354,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_putida,0.223483
bin_112,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8253,s__GGB8253_SGB12629,0.273629
bin_269,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB10399,0.1878725
bin_326,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_guguanensis,0.260703
bin_80,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus_oleiagri,0.26546
bin_349,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinobaculum,s__Actinobaculum_sp_oral_taxon_183,0.348018309
bin_3,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__Tetrasphaera_duodecadis,0.223483
bin_32,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Oblitimonas,s__Oblitimonas_alkaliphila,0.27226325
bin_316,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3552,s__GGB3552_SGB4749,0.123898413
bin_118,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified,s__Ruminococcaceae_bacterium_YAD3003,0.300994
bin_60,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__Paludibacter_propionicigenes,0.276697
bin_203,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_haifense,0.258493
bin_253,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1902,0.08917065
bin_169,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3604,s__GGB3604_SGB4868,0.064090257
bin_138,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_SGB10438,0.202522667
bin_263,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3554,s__GGB3554_SGB4753,0.093020261
bin_41,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Ruminococcus_torques,0.035383222
bin_109,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_SGB6032,0.300994
bin_105,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_56,0.2351265
bin_10,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiales_unclassified,g__Sphaerotilus,s__Sphaerotilus_natans,0.05100165
bin_130,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,s__Azospira_oryzae,0.0444353
bin_315,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus_intestini,0.095460194
bin_82,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_alcaligenes,0.0551122
